CAFA	Predikcija	Skor	UniProt	Uniprot1	UniProt2
T96060004660	GO:0005739	fp	Q92796	DLG3_HUMAN	DLG3_HUMAN
T96060004666	GO:0005739	fp	Q9Y2H0	DLGP4_HUMAN	DLGP4_HUMAN
T96060004672	GO:0005739	fp	Q9NR61	DLL4_HUMAN	DLL4_HUMAN
T96060004681	GO:0005739	fp	P56179	DLX6_HUMAN	DLX6_HUMAN
T96060004694	GO:0005739	fp	Q9Y5R6	DMRT1_HUMAN	DMRT1_HUMAN
T96060004704	GO:0005739	fp	Q9Y485	DMXL1_HUMAN	DMXL1_HUMAN
T96060004713	GO:0005739	fp	Q8NFT8	DNER_HUMAN	DNER_HUMAN
T96060004720	GO:0005739	fp	Q8WW22	DNJA4_HUMAN	DNJA4_HUMAN
T96060004729	GO:0005739	fp	Q9UBS3	DNJB9_HUMAN	DNJB9_HUMAN
T96060004730	GO:0005739	fp	Q96KC8	DNJC1_HUMAN	DNJC1_HUMAN
T96060004731	GO:0005739	fp	Q99543	DNJC2_HUMAN	DNJC2_HUMAN
T96060004732	GO:0005739	fp	Q13217	DNJC3_HUMAN	DNJC3_HUMAN
T96060004738	GO:0005739	fp	P18858	DNLI1_HUMAN	DNLI1_HUMAN
T96060004753	GO:0005739	fp	Q92874	DNSL2_HUMAN	DNSL2_HUMAN
T96060004757	GO:0005739	fp	Q96BY6	DOC10_HUMAN	DOC10_HUMAN
T96060004765	GO:0005739	fp	Q9H7D0	DOCK5_HUMAN	DOCK5_HUMAN
T96060004792	GO:0005739	fp	Q86SG4	DPCA2_HUMAN	DPCA2_HUMAN
T96060004812	GO:0005739	fp	P49005	DPOD2_HUMAN	DPOD2_HUMAN
T96060004821	GO:0005739	fp	P09884	DPOLA_HUMAN	DPOLA_HUMAN
T96060004826	GO:0005739	fp	O75417	DPOLQ_HUMAN	DPOLQ_HUMAN
T96060004843	GO:0005739	fp	Q12882	DPYD_HUMAN	DPYD_HUMAN
T96060004849	GO:0005739	fp	Q14117	DPYS_HUMAN	DPYS_HUMAN
T96060004868	GO:0005739	fp	P21728	DRD1_HUMAN	DRD1_HUMAN
T96060004870	GO:0005739	fp	P35462	DRD3_HUMAN	DRD3_HUMAN
T96060004875	GO:0005739	fp	P55039	DRG2_HUMAN	DRG2_HUMAN
T96060004886	GO:0005739	fp	Q02487	DSC2_HUMAN	DSC2_HUMAN
T96060004896	GO:0005739	fp	Q9UL01	DSE_HUMAN	DSE_HUMAN
T96060004940	GO:0005739	fp	Q9BVJ7	DUS23_HUMAN	DUS23_HUMAN
T96060004947	GO:0005739	fp	P51452	DUS3_HUMAN	DUS3_HUMAN
T96060004954	GO:0005739	fp	Q99956	DUS9_HUMAN	DUS9_HUMAN
T96060004958	GO:0005739	fp	O43812	DUX1_HUMAN	DUX1_HUMAN
T96060004984	GO:0005739	fp	Q8WXX0	DYH7_HUMAN	DYH7_HUMAN
T96060004998	GO:0005739	fp	Q13627	DYR1A_HUMAN	DYR1A_HUMAN
T96060005016	GO:0005739	fp	Q9P2K8	E2AK4_HUMAN	E2AK4_HUMAN
T96060005017	GO:0005739	fp	Q01094	E2F1_HUMAN	E2F1_HUMAN
T96060005027	GO:0005739	fp	O43491	E41L2_HUMAN	E41L2_HUMAN
T96060005040	GO:0005739	fp	Q96JC9	EAF1_HUMAN	EAF1_HUMAN
T96060005051	GO:0005739	fp	O60344	ECE2_HUMAN	ECE2_HUMAN
T96060005078	GO:0005739	fp	Q9BZQ6	EDEM3_HUMAN	EDEM3_HUMAN
T96060005120	GO:0005739	fp	Q5JVL4	EFHC1_HUMAN	EFHC1_HUMAN
T96060005121	GO:0005739	fp	Q5JST6	EFHC2_HUMAN	EFHC2_HUMAN
T96060005135	GO:0005739	fp	O43281	EFS_HUMAN	EFS_HUMAN
T96060005140	GO:0005739	fp	Q9UHF1	EGFL7_HUMAN	EGFL7_HUMAN
T96060005142	GO:0005739	fp	Q63HQ2	EGFLA_HUMAN	EGFLA_HUMAN
T96060005144	GO:0005739	fp	P01133	EGF_HUMAN	EGF_HUMAN
T96060005151	GO:0005739	fp	Q06889	EGR3_HUMAN	EGR3_HUMAN
T96060005154	GO:0005739	fp	Q8NDI1	EHBP1_HUMAN	EHBP1_HUMAN
T96060005161	GO:0005739	fp	Q96KQ7	EHMT2_HUMAN	EHMT2_HUMAN
T96060005172	GO:0005739	fp	Q8N9N8	EIF1A_HUMAN	EIF1A_HUMAN
T96060005174	GO:0005739	fp	P41567	EIF1_HUMAN	EIF1_HUMAN
T96060005178	GO:0005739	fp	P55884	EIF3B_HUMAN	EIF3B_HUMAN
T96060005179	GO:0005739	fp	Q99613	EIF3C_HUMAN	EIF3C_HUMAN
T96060005183	GO:0005739	fp	O75821	EIF3G_HUMAN	EIF3G_HUMAN
T96060005184	GO:0005739	fp	O15372	EIF3H_HUMAN	EIF3H_HUMAN
T96060005188	GO:0005739	fp	Q9Y262	EIF3L_HUMAN	EIF3L_HUMAN
T96060005190	GO:0005739	fp	B5ME19	EIFCL_HUMAN	EIFCL_HUMAN
T96060005194	GO:0005739	fp	Q15717	ELAV1_HUMAN	ELAV1_HUMAN
T96060005201	GO:0005739	fp	P78545	ELF3_HUMAN	ELF3_HUMAN
T96060005208	GO:0005739	fp	O00472	ELL2_HUMAN	ELL2_HUMAN
T96060005209	GO:0005739	fp	Q9HB65	ELL3_HUMAN	ELL3_HUMAN
T96060005210	GO:0005739	fp	P55199	ELL_HUMAN	ELL_HUMAN
T96060005212	GO:0005739	fp	Q8IZ81	ELMD2_HUMAN	ELMD2_HUMAN
T96060005225	GO:0005739	fp	Q9BW60	ELOV1_HUMAN	ELOV1_HUMAN
T96060005226	GO:0005739	fp	Q9NXB9	ELOV2_HUMAN	ELOV2_HUMAN
T96060005228	GO:0005739	fp	Q9GZR5	ELOV4_HUMAN	ELOV4_HUMAN
T96060005229	GO:0005739	fp	Q9NYP7	ELOV5_HUMAN	ELOV5_HUMAN
T96060005234	GO:0005739	fp	Q9H9T3	ELP3_HUMAN	ELP3_HUMAN
T96060005236	GO:0005739	fp	Q8TE02	ELP5_HUMAN	ELP5_HUMAN
T96060005243	GO:0005739	fp	Q9HC35	EMAL4_HUMAN	EMAL4_HUMAN
T96060005257	GO:0005739	fp	P50402	EMD_HUMAN	EMD_HUMAN
T96060005258	GO:0005739	fp	Q96AY2	EME1_HUMAN	EME1_HUMAN
T96060005268	GO:0005739	fp	Q6PJG2	EMSA1_HUMAN	EMSA1_HUMAN
T96060005269	GO:0005739	fp	Q7Z589	EMSY_HUMAN	EMSY_HUMAN
T96060005271	GO:0005739	fp	Q04743	EMX2_HUMAN	EMX2_HUMAN
T96060005273	GO:0005739	fp	Q8N8S7	ENAH_HUMAN	ENAH_HUMAN
T96060005281	GO:0005739	fp	Q9N2J8	ENH3_HUMAN	ENH3_HUMAN
T96060005290	GO:0005739	fp	Q9HDB8	ENK5_HUMAN	ENK5_HUMAN
T96060005312	GO:0005739	fp	Q9Y6X5	ENPP4_HUMAN	ENPP4_HUMAN
T96060005313	GO:0005739	fp	Q9UJA9	ENPP5_HUMAN	ENPP5_HUMAN
T96060005315	GO:0005739	fp	Q6UWV6	ENPP7_HUMAN	ENPP7_HUMAN
T96060005330	GO:0005739	fp	Q5NDL2	EOGT_HUMAN	EOGT_HUMAN
T96060005343	GO:0005739	fp	Q52LR7	EPC2_HUMAN	EPC2_HUMAN
T96060005352	GO:0005739	fp	P54764	EPHA4_HUMAN	EPHA4_HUMAN
T96060005358	GO:0005739	fp	P54762	EPHB1_HUMAN	EPHB1_HUMAN
T96060005359	GO:0005739	fp	P29323	EPHB2_HUMAN	EPHB2_HUMAN
T96060005369	GO:0005739	fp	O95208	EPN2_HUMAN	EPN2_HUMAN
T96060005371	GO:0005739	fp	Q14677	EPN4_HUMAN	EPN4_HUMAN
T96060005375	GO:0005739	fp	P42566	EPS15_HUMAN	EPS15_HUMAN
T96060005379	GO:0005739	fp	Q9NQ60	EQTN_HUMAN	EQTN_HUMAN
T96060005387	GO:0005739	fp	P21860	ERBB3_HUMAN	ERBB3_HUMAN
T96060005392	GO:0005739	fp	P18074	ERCC2_HUMAN	ERCC2_HUMAN
T96060005403	GO:0005739	fp	Q8IYD1	ERF3B_HUMAN	ERF3B_HUMAN
T96060005421	GO:0005739	fp	Q5RHP9	ERIC3_HUMAN	ERIC3_HUMAN
T96060005430	GO:0005739	fp	Q96PL5	ERMAP_HUMAN	ERMAP_HUMAN
T96060005433	GO:0005739	fp	O75460	ERN1_HUMAN	ERN1_HUMAN
T96060005436	GO:0005739	fp	Q86YB8	ERO1B_HUMAN	ERO1B_HUMAN
T96060005440	GO:0005739	fp	P11474	ERR1_HUMAN	ERR1_HUMAN
T96060005455	GO:0005739	fp	Q9NQ30	ESM1_HUMAN	ESM1_HUMAN
T96060005456	GO:0005739	fp	Q96BH3	ESPB1_HUMAN	ESPB1_HUMAN
T96060005470	GO:0005739	fp	Q6NT32	EST5A_HUMAN	EST5A_HUMAN
T96060005472	GO:0005739	fp	Q8N693	ESX1_HUMAN	ESX1_HUMAN
T96060005484	GO:0005739	fp	P15036	ETS2_HUMAN	ETS2_HUMAN
T96060005496	GO:0005739	fp	P58658	EVA1C_HUMAN	EVA1C_HUMAN
T96060005497	GO:0005739	fp	P57679	EVC_HUMAN	EVC_HUMAN
T96060005522	GO:0005739	fp	Q96A65	EXOC4_HUMAN	EXOC4_HUMAN
T96060005528	GO:0005739	fp	Q9Y3B2	EXOS1_HUMAN	EXOS1_HUMAN
T96060005530	GO:0005739	fp	Q9NQT5	EXOS3_HUMAN	EXOS3_HUMAN
T96060005532	GO:0005739	fp	Q9NQT4	EXOS5_HUMAN	EXOS5_HUMAN
T96060005548	GO:0005739	fp	Q5T1H1	EYS_HUMAN	EYS_HUMAN
T96060005551	GO:0005739	fp	P15311	EZRI_HUMAN	EZRI_HUMAN
T96060005555	GO:0005739	fp	Q5T8I3	F102B_HUMAN	F102B_HUMAN
T96060005565	GO:0005739	fp	Q70Z53	F10C1_HUMAN	F10C1_HUMAN
T96060005577	GO:0005739	fp	Q9NZB2	F120A_HUMAN	F120A_HUMAN
T96060005578	GO:0005739	fp	Q96EK7	F120B_HUMAN	F120B_HUMAN
T96060005588	GO:0005739	fp	Q17RB0	F127C_HUMAN	F127C_HUMAN
T96060005593	GO:0005739	fp	Q5BKY9	F133B_HUMAN	F133B_HUMAN
T96060005621	GO:0005739	fp	Q5T6X4	F162B_HUMAN	F162B_HUMAN
T96060005622	GO:0005739	fp	Q96GL9	F163A_HUMAN	F163A_HUMAN
T96060005631	GO:0005739	fp	Q8N8A8	F169B_HUMAN	F169B_HUMAN
T96060005634	GO:0005739	fp	Q5W0V3	F16B1_HUMAN	F16B1_HUMAN
T96060005635	GO:0005739	fp	Q86V87	F16B2_HUMAN	F16B2_HUMAN
T96060005647	GO:0005739	fp	Q8TBP5	F174A_HUMAN	F174A_HUMAN
T96060005661	GO:0005739	fp	Q5T319	F182B_HUMAN	F182B_HUMAN
T96060005668	GO:0005739	fp	Q8IYM0	F186B_HUMAN	F186B_HUMAN
T96060005669	GO:0005739	fp	A6NFU0	F187A_HUMAN	F187A_HUMAN
T96060005672	GO:0005739	fp	Q9H8M7	F188A_HUMAN	F188A_HUMAN
T96060005676	GO:0005739	fp	P81408	F189B_HUMAN	F189B_HUMAN
T96060005684	GO:0005739	fp	Q9UFP1	F198A_HUMAN	F198A_HUMAN
T96060005685	GO:0005739	fp	Q6UWH4	F198B_HUMAN	F198B_HUMAN
T96060005697	GO:0005739	fp	Q63HN1	F205B_HUMAN	F205B_HUMAN
T96060005700	GO:0005739	fp	Q9NSI2	F207A_HUMAN	F207A_HUMAN
T96060005712	GO:0005739	fp	Q8WUB2	F216A_HUMAN	F216A_HUMAN
T96060005717	GO:0005739	fp	Q8IW50	F219A_HUMAN	F219A_HUMAN
T96060005718	GO:0005739	fp	Q5XKK7	F219B_HUMAN	F219B_HUMAN
T96060005722	GO:0005739	fp	A6H8Z2	F221B_HUMAN	F221B_HUMAN
T96060005729	GO:0005739	fp	Q96M60	F227B_HUMAN	F227B_HUMAN
T96060005743	GO:0005739	fp	O60825	F262_HUMAN	F262_HUMAN
T96060005745	GO:0005739	fp	Q16877	F264_HUMAN	F264_HUMAN
T96060005760	GO:0005739	fp	Q86YD7	F90A1_HUMAN	F90A1_HUMAN
T96060005795	GO:0005739	fp	Q5JW98	FA26D_HUMAN	FA26D_HUMAN
T96060005815	GO:0005739	fp	Q9NUQ9	FA49B_HUMAN	FA49B_HUMAN
T96060005834	GO:0005739	fp	Q5T7M9	FA69A_HUMAN	FA69A_HUMAN
T96060005837	GO:0005739	fp	Q8IYT1	FA71A_HUMAN	FA71A_HUMAN
T96060005846	GO:0005739	fp	Q5HYJ3	FA76B_HUMAN	FA76B_HUMAN
T96060005848	GO:0005739	fp	Q5VT40	FA78B_HUMAN	FA78B_HUMAN
T96060005849	GO:0005739	fp	P08709	FA7_HUMAN	FA7_HUMAN
T96060005852	GO:0005739	fp	Q86UY5	FA83A_HUMAN	FA83A_HUMAN
T96060005855	GO:0005739	fp	Q9H4H8	FA83D_HUMAN	FA83D_HUMAN
T96060005856	GO:0005739	fp	Q2M2I3	FA83E_HUMAN	FA83E_HUMAN
T96060005861	GO:0005739	fp	Q96KN1	FA84B_HUMAN	FA84B_HUMAN
T96060005862	GO:0005739	fp	Q9NVL1	FA86C_HUMAN	FA86C_HUMAN
T96060005869	GO:0005739	fp	Q9H5X1	FA96A_HUMAN	FA96A_HUMAN
T96060005885	GO:0005739	fp	P12104	FABPI_HUMAN	FABPI_HUMAN
T96060005887	GO:0005739	fp	Q9BXW9	FACD2_HUMAN	FACD2_HUMAN
T96060005894	GO:0005739	fp	Q13158	FADD_HUMAN	FADD_HUMAN
T96060005918	GO:0005739	fp	Q8IZU1	FAM9A_HUMAN	FAM9A_HUMAN
T96060005923	GO:0005739	fp	Q8NB91	FANCB_HUMAN	FANCB_HUMAN
T96060005937	GO:0005739	fp	Q9Y4F1	FARP1_HUMAN	FARP1_HUMAN
T96060005950	GO:0005739	fp	Q8TES7	FBF1_HUMAN	FBF1_HUMAN
T96060005957	GO:0005739	fp	O95967	FBLN4_HUMAN	FBLN4_HUMAN
T96060005962	GO:0005739	fp	Q75N90	FBN3_HUMAN	FBN3_HUMAN
T96060005966	GO:0005739	fp	Q9HAH7	FBRS_HUMAN	FBRS_HUMAN
T96060005973	GO:0005739	fp	Q9UK96	FBX10_HUMAN	FBX10_HUMAN
T96060005977	GO:0005739	fp	Q96EF6	FBX17_HUMAN	FBX17_HUMAN
T96060005978	GO:0005739	fp	O94952	FBX21_HUMAN	FBX21_HUMAN
T96060005989	GO:0005739	fp	Q9NWN3	FBX34_HUMAN	FBX34_HUMAN
T96060006004	GO:0005739	fp	Q9UKT4	FBX5_HUMAN	FBX5_HUMAN
T96060006017	GO:0005739	fp	P57775	FBXW4_HUMAN	FBXW4_HUMAN
T96060006025	GO:0005739	fp	P12319	FCERA_HUMAN	FCERA_HUMAN
T96060006027	GO:0005739	fp	P30273	FCERG_HUMAN	FCERG_HUMAN
T96060006033	GO:0005739	fp	O75015	FCG3B_HUMAN	FCG3B_HUMAN
T96060006041	GO:0005739	fp	O00602	FCN1_HUMAN	FCL_HUMAN
T96060006046	GO:0005739	fp	Q96P31	FCRL3_HUMAN	FCRL2_HUMAN
T96060006059	GO:0005739	fp	Q96M78	FEAS2_HUMAN	FEAS2_HUMAN
T96060006070	GO:0005739	fp	P02765	FETUA_HUMAN	FETUA_HUMAN
T96060006072	GO:0005739	fp	Q99581	FEV_HUMAN	FEV_HUMAN
T96060006078	GO:0005739	fp	O15552	FFAR2_HUMAN	FFAR2_HUMAN
T96060006086	GO:0005739	fp	Q6ZV73	FGD6_HUMAN	FGD6_HUMAN
T96060006091	GO:0005739	fp	Q92915	FGF14_HUMAN	FGF14_HUMAN
T96060006100	GO:0005739	fp	Q9GZV9	FGF23_HUMAN	FGF23_HUMAN
T96060006110	GO:0005739	fp	Q9BYJ0	FGFP2_HUMAN	FGFP2_HUMAN
T96060006112	GO:0005739	fp	P11362	FGFR1_HUMAN	FGFR1_HUMAN
T96060006118	GO:0005739	fp	Q14314	FGL2_HUMAN	FGL2_HUMAN
T96060006120	GO:0005739	fp	Q8N441	FGRL1_HUMAN	FGRL1_HUMAN
T96060006121	GO:0005739	fp	P09769	FGR_HUMAN	FGR_HUMAN
T96060006126	GO:0005739	fp	P0C7X4	FHL19_HUMAN	FHL19_HUMAN
T96060006145	GO:0005739	fp	Q6PIW4	FIGL1_HUMAN	FIGL1_HUMAN
T96060006155	GO:0005739	fp	A5D6W6	FITM1_HUMAN	FITM1_HUMAN
T96060006171	GO:0005739	fp	Q9Y680	FKBP7_HUMAN	FKBP7_HUMAN
T96060006185	GO:0005739	fp	O75955	FLOT1_HUMAN	FLOT1_HUMAN
T96060006187	GO:0005739	fp	Q9UGQ2	FLOWR_HUMAN	FLOWR_HUMAN
T96060006196	GO:0005739	fp	B3EWG3	FM25A_HUMAN	FM25A_HUMAN
T96060006197	GO:0005739	fp	B3EWG4	FM25B_HUMAN	FM25B_HUMAN
T96060006198	GO:0005739	fp	B3EWG5	FM25C_HUMAN	FM25C_HUMAN
T96060006199	GO:0005739	fp	B3EWG6	FM25G_HUMAN	FM25G_HUMAN
T96060006203	GO:0005739	fp	O95466	FMNL1_HUMAN	FMNL1_HUMAN
T96060006210	GO:0005739	fp	P49326	FMO5_HUMAN	FMO5_HUMAN
T96060006214	GO:0005739	fp	Q06787	FMR1_HUMAN	FMR1_HUMAN
T96060006222	GO:0005739	fp	Q9H6D8	FNDC4_HUMAN	FNDC4_HUMAN
T96060006224	GO:0005739	fp	Q5VTL7	FNDC7_HUMAN	FNDC7_HUMAN
T96060006228	GO:0005739	fp	Q9P278	FNIP2_HUMAN	FNIP2_HUMAN
T96060006236	GO:0005739	fp	Q04609	FOLH1_HUMAN	FOLH1_HUMAN
T96060006241	GO:0005739	fp	Q96NB1	FOPNL_HUMAN	FOPNL_HUMAN
T96060006244	GO:0005739	fp	P15408	FOSL2_HUMAN	FOSL2_HUMAN
T96060006253	GO:0005739	fp	Q16676	FOXD1_HUMAN	FOXD1_HUMAN
T96060006264	GO:0005739	fp	Q6ZQN5	FOXI2_HUMAN	FOXI2_HUMAN
T96060006271	GO:0005739	fp	Q12952	FOXL1_HUMAN	FOXL1_HUMAN
T96060006288	GO:0005739	fp	Q6PIV2	FOXR1_HUMAN	FOXR1_HUMAN
T96060006289	GO:0005739	fp	Q6PJQ5	FOXR2_HUMAN	FOXR2_HUMAN
T96060006296	GO:0005739	fp	P25089	FPR3_HUMAN	FPR3_HUMAN
T96060006324	GO:0005739	fp	Q96NE9	FRMD6_HUMAN	FRMD6_HUMAN
T96060006331	GO:0005739	fp	Q14CM0	FRPD4_HUMAN	FRPD4_HUMAN
T96060006351	GO:0005739	fp	Q12841	FSTL1_HUMAN	FSTL1_HUMAN
T96060006361	GO:0005739	fp	Q92945	FUBP2_HUMAN	FUBP2_HUMAN
T96060006362	GO:0005739	fp	Q96I24	FUBP3_HUMAN	FUBP3_HUMAN
T96060006364	GO:0005739	fp	Q9BTY2	FUCO2_HUMAN	FUCO2_HUMAN
T96060006381	GO:0005739	fp	Q11130	FUT7_HUMAN	FUT7_HUMAN
T96060006383	GO:0005739	fp	Q9Y231	FUT9_HUMAN	FUT9_HUMAN
T96060006392	GO:0005739	fp	Q96IV6	FXDC2_HUMAN	FXDC2_HUMAN
T96060006410	GO:0005739	fp	Q96DB9	FXYD5_HUMAN	FXYD5_HUMAN
T96060006422	GO:0005739	fp	Q9ULV1	FZD4_HUMAN	FZD4_HUMAN
T96060006426	GO:0005739	fp	Q9H461	FZD8_HUMAN	FZD8_HUMAN
T96060006433	GO:0005739	fp	Q7L622	G2E3_HUMAN	G2E3_HUMAN
T96060006446	GO:0005739	fp	Q9BUM1	G6PC3_HUMAN	G6PC3_HUMAN
T96060006454	GO:0005739	fp	Q9UBA6	G8_HUMAN	G8_HUMAN
T96060006467	GO:0005739	fp	Q06547	GABP1_HUMAN	GABP1_HUMAN
T96060006477	GO:0005739	fp	Q6NT46	GAG2A_HUMAN	GAG2A_HUMAN
T96060006494	GO:0005739	fp	P62685	GAK8_HUMAN	GAK8_HUMAN
T96060006496	GO:0005739	fp	O14976	GAK_HUMAN	GAK_HUMAN
T96060006498	GO:0005739	fp	P54803	GALC_HUMAN	GALC_HUMAN
T96060006506	GO:0005739	fp	O43603	GALR2_HUMAN	GALR2_HUMAN
T96060006512	GO:0005739	fp	Q7Z7M9	GALT5_HUMAN	GALT5_HUMAN
T96060006517	GO:0005739	fp	P07902	GALT_HUMAN	GALT_HUMAN
T96060006523	GO:0005739	fp	Q14C86	GAPD1_HUMAN	GAPD1_HUMAN
T96060006525	GO:0005739	fp	Q8N292	GAPT_HUMAN	GAPT_HUMAN
T96060006534	GO:0005739	fp	O95995	GAS8_HUMAN	GAS8_HUMAN
T96060006536	GO:0005739	fp	Q96D09	GASP2_HUMAN	GASP2_HUMAN
T96060006539	GO:0005739	fp	P15976	GATA1_HUMAN	GATA1_HUMAN
T96060006552	GO:0005739	fp	Q8NAP1	GATS_HUMAN	GATS_HUMAN
T96060006562	GO:0005739	fp	P61952	GBG11_HUMAN	GBG11_HUMAN
T96060006567	GO:0005739	fp	P63215	GBG3_HUMAN	GBG3_HUMAN
T96060006568	GO:0005739	fp	P50150	GBG4_HUMAN	GBG4_HUMAN
T96060006570	GO:0005739	fp	O60262	GBG7_HUMAN	GBG7_HUMAN
T96060006571	GO:0005739	fp	Q9UK08	GBG8_HUMAN	GBG8_HUMAN
T96060006581	GO:0005739	fp	P14867	GBRA1_HUMAN	GBRA1_HUMAN
T96060006585	GO:0005739	fp	P31644	GBRA5_HUMAN	GBRA5_HUMAN
T96060006588	GO:0005739	fp	P18505	GBRB1_HUMAN	GBRB1_HUMAN
T96060006589	GO:0005739	fp	P47870	GBRB2_HUMAN	GBRB2_HUMAN
T96060006594	GO:0005739	fp	P18507	GBRG2_HUMAN	GBRG2_HUMAN
T96060006596	GO:0005739	fp	Q9H0R8	GBRL1_HUMAN	GBRL1_HUMAN
T96060006622	GO:0005739	fp	Q9BSJ2	GCP2_HUMAN	GCP2_HUMAN
T96060006623	GO:0005739	fp	Q96CW5	GCP3_HUMAN	GCP3_HUMAN
T96060006634	GO:0005739	fp	Q02108	GCYA3_HUMAN	GCYA3_HUMAN
T96060006636	GO:0005739	fp	O75343	GCYB2_HUMAN	GCYB2_HUMAN
T96060006645	GO:0005739	fp	Q99988	GDF15_HUMAN	GDF15_HUMAN
T96060006652	GO:0005739	fp	Q7Z4P5	GDF7_HUMAN	GDF7_HUMAN
T96060006666	GO:0005739	fp	Q8WTR4	GDPD5_HUMAN	GDPD5_HUMAN
T96060006672	GO:0005739	fp	P57678	GEMI4_HUMAN	GEMI4_HUMAN
T96060006674	GO:0005739	fp	Q8WXD5	GEMI6_HUMAN	GEMI6_HUMAN
T96060006680	GO:0005739	fp	Q9NQX3	GEPH_HUMAN	GEPH_HUMAN
T96060006684	GO:0005739	fp	Q99684	GFI1_HUMAN	GFI1_HUMAN
T96060006691	GO:0005739	fp	O60609	GFRA3_HUMAN	GFRA3_HUMAN
T96060006702	GO:0005739	fp	Q8N7Z2	GG6L1_HUMAN	GG6L1_HUMAN
T96060006705	GO:0005739	fp	A6NEF3	GG6L4_HUMAN	GG6L4_HUMAN
T96060006717	GO:0005739	fp	Q9UEU5	GGE2D_HUMAN	GGE2D_HUMAN
T96060006721	GO:0005739	fp	Q9H3C7	GGNB2_HUMAN	GGNB2_HUMAN
T96060006739	GO:0005739	fp	Q9UBU3	GHRL_HUMAN	GHRL_HUMAN
T96060006744	GO:0005739	fp	P13284	GILT_HUMAN	GILT_HUMAN
T96060006745	GO:0005739	fp	Q8WWP7	GIMA1_HUMAN	GIMA1_HUMAN
T96060006747	GO:0005739	fp	Q9NUV9	GIMA4_HUMAN	GIMA4_HUMAN
T96060006761	GO:0005739	fp	Q14161	GIT2_HUMAN	GIT2_HUMAN
T96060006769	GO:0005739	fp	Q68CQ7	GL8D1_HUMAN	GL8D1_HUMAN
T96060006773	GO:0005739	fp	Q8NCI6	GLBL3_HUMAN	GLBL3_HUMAN
T96060006777	GO:0005739	fp	P04062	GLCM_HUMAN	GLCM_HUMAN
T96060006788	GO:0005739	fp	P10071	GLI3_HUMAN	GLI3_HUMAN
T96060006791	GO:0005739	fp	Q8NBF1	GLIS1_HUMAN	GLIS1_HUMAN
T96060006805	GO:0005739	fp	P04921	GLPC_HUMAN	GLPC_HUMAN
T96060006812	GO:0005739	fp	P23416	GLRA2_HUMAN	GLRA2_HUMAN
T96060006815	GO:0005739	fp	P48167	GLRB_HUMAN	GLRB_HUMAN
T96060006820	GO:0005739	fp	P47871	GLR_HUMAN	GLR_HUMAN
T96060006828	GO:0005739	fp	Q8N3T1	GLT15_HUMAN	GLT15_HUMAN
T96060006848	GO:0005739	fp	Q96IK5	GMCL1_HUMAN	GMCL1_HUMAN
T96060006854	GO:0005739	fp	O60234	GMFG_HUMAN	GMFG_HUMAN
T96060006862	GO:0005739	fp	Q03113	GNA12_HUMAN	GNA12_HUMAN
T96060006870	GO:0005739	fp	P38405	GNAL_HUMAN	GNAL_HUMAN
T96060006891	GO:0005739	fp	Q9UJJ9	GNPTG_HUMAN	GNPTG_HUMAN
T96060006892	GO:0005739	fp	P30968	GNRHR_HUMAN	GNRHR_HUMAN
T96060006893	GO:0005739	fp	Q96P88	GNRR2_HUMAN	GNRR2_HUMAN
T96060006894	GO:0005739	fp	P15586	GNS_HUMAN	GNS_HUMAN
T96060006917	GO:0005739	fp	Q08379	GOGA2_HUMAN	GOGA2_HUMAN
T96060006920	GO:0005739	fp	Q8TBA6	GOGA5_HUMAN	GOGA5_HUMAN
T96060006932	GO:0005739	fp	Q9BQQ3	GORS1_HUMAN	GORS1_HUMAN
T96060006935	GO:0005739	fp	O95249	GOSR1_HUMAN	GOSR1_HUMAN
T96060006940	GO:0005739	fp	Q5VW38	GP107_HUMAN	GP107_HUMAN
T96060006958	GO:0005739	fp	Q8NFN8	GP156_HUMAN	GP156_HUMAN
T96060006968	GO:0005739	fp	Q6PRD1	GP179_HUMAN	GP179_HUMAN
T96060006969	GO:0005739	fp	Q86V85	GP180_HUMAN	GP180_HUMAN
T96060006977	GO:0005739	fp	Q8IXQ4	GPAM1_HUMAN	GPAM1_HUMAN
T96060006984	GO:0005739	fp	Q9HC44	GPBL1_HUMAN	GPBL1_HUMAN
T96060006991	GO:0005739	fp	Q9NQ84	GPC5C_HUMAN	GPC5C_HUMAN
T96060006993	GO:0005739	fp	P78333	GPC5_HUMAN	GPC5_HUMAN
T96060006995	GO:0005739	fp	Q9Y625	GPC6_HUMAN	GPC6_HUMAN
T96060007000	GO:0005739	fp	Q99527	GPER1_HUMAN	GPER1_HUMAN
T96060007001	GO:0005739	fp	Q96T91	GPHA2_HUMAN	GPHA2_HUMAN
T96060007002	GO:0005739	fp	Q86YW7	GPHB5_HUMAN	GPHB5_HUMAN
T96060007005	GO:0005739	fp	Q92643	GPI8_HUMAN	GPI8_HUMAN
T96060007009	GO:0005739	fp	Q13491	GPM6B_HUMAN	GPM6B_HUMAN
T96060007020	GO:0005739	fp	Q99678	GPR20_HUMAN	GPR20_HUMAN
T96060007028	GO:0005739	fp	Q49SQ1	GPR33_HUMAN	GPR33_HUMAN
T96060007037	GO:0005739	fp	Q9Y2T5	GPR52_HUMAN	GPR52_HUMAN
T96060007041	GO:0005739	fp	Q9BZJ6	GPR63_HUMAN	GPR63_HUMAN
T96060007046	GO:0005739	fp	Q9NYM4	GPR83_HUMAN	GPR83_HUMAN
